num,area,Width,Height,w/h,E,熵,MSA
1,118.5,6.05331,24.838,0.243712,0.48,,
2,175.5,9.20051,24.4799,0.37584,0.662458,,
3,61,3.5039,22.1617,0.158106,0.330742,,
4,123,5.90537,26.5246,0.222637,0.437246,,
5,174.5,13.0235,18.0354,0.722108,0.875674,,
6,152.5,12.5908,16.2115,0.776658,0.859712,,
7,267.5,13.5109,25.395,0.532028,0.786994,,
8,602.5,14.8553,51.546,0.288195,0.535074,,
9,879.5,15.2001,72.6902,0.209108,0.422574,,
10,349,8.66476,51.4796,0.168314,0.345738,,
11,460,10.4649,56.7137,0.184522,0.384408,,
12,5735.5,30.2388,240.133,0.125925,0.271483,,
13,199.5,8.89019,28.4372,0.312625,0.574801,,
14,1371.5,36.6435,47.5452,0.770709,0.873475,,
15,422.5,13.9786,38.5152,0.362938,0.607347,,
16,463.5,14.8788,39.2495,0.379083,0.649896,,
17,822.5,16.617,62.931,0.264052,0.498976,,
18,136,12.5577,14.3537,0.874876,0.858115,,
19,53,7.50678,9.12222,0.822912,0.840953,,
20,65,8.12701,10.1801,0.798321,0.851579,,
21,109,9.90114,14.7931,0.669309,0.829847,,
22,138.5,10.9149,16.5424,0.659811,0.821029,,
23,787.5,13.5636,73.7327,0.183957,0.366107,,
24,974.5,16.545,74.6805,0.221544,0.431778,,
25,5984,47.1793,161.545,0.292051,0.540841,,
26,7136.5,50.0427,181.43,0.275823,0.513044,,
27,3052,32.7877,118.624,0.2764,0.516137,,
28,3722.5,39.5213,119.376,0.331066,0.579944,,
29,5468.5,50.0273,138.893,0.360186,0.624936,,
30,53,4.51895,15.6984,0.287861,0.534071,,
31,69.5,5.41952,16.7264,0.32401,0.582299,,
32,88.5,6.52596,17.1701,0.380076,0.643989,,
33,111,7.9003,18.256,0.43275,0.689725,,
34,139.5,7.9281,23.0747,0.343584,0.589607,,
35,683.5,20.0325,43.2656,0.463011,0.716375,,
36,491,17.8092,35.0055,0.508756,0.748878,,
37,2851,34.4982,105.037,0.328438,0.582005,,
38,1361.5,40.2944,42.9717,0.937698,0.892336,,
39,1822,35.6738,64.9144,0.549552,0.778094,,
40,632,16.3647,49.539,0.330339,0.590816,,
41,121,5.88748,25.669,0.229362,0.442378,,
42,2504,29.5891,107.601,0.274988,0.521919,,
43,1821.5,23.0953,100.381,0.230077,0.461068,,
44,1766.5,22.2612,100.605,0.221273,0.445772,,
45,1589.5,20.4903,98.9249,0.20713,0.423578,,
46,1611,20.2871,100.548,0.201766,0.414828,,
47,5297.5,67.672,99.7275,0.678569,0.844921,,
48,46,2.50895,25.727,0.0975217,0.210314,,
49,51,2.22621,29.4074,0.0757025,0.160174,,
50,86,2.33713,44.7394,0.0522387,0.115888,,
51,54.5,5.59096,12.9051,0.433236,0.687754,,
52,85.5,9.85677,12.2726,0.803154,0.849849,,
53,418,11.6938,46.0716,0.253818,0.510308,,
54,814.5,11.4478,91.7256,0.124805,0.279524,,
55,1324,16.8144,99.703,0.168645,0.352039,,
56,1563,19.5577,101.666,0.192372,0.39066,,
57,186,6.55378,35.5785,0.184206,0.364451,,
58,745.5,13.6631,69.6553,0.196153,0.386033,,
59,357.5,9.46484,47.4369,0.199525,0.393779,,
60,92,5.45595,21.0674,0.258976,0.520861,,
61,123,5.79786,26.2917,0.220521,0.45279,,
62,380.5,13.5454,35.8435,0.377905,0.636556,,
63,599,17.7608,43.1047,0.41204,0.683894,,
